Role,Companies,Location,Experience,Skills
Data Scientist,NSE.IT Ltd,Mumbai,5-10 Yrs,"Text mining
deep learning
Automation
Neural networks
Machine learning
Housing finance
Deployment
data visualization"
Data Scientist,Diverse Lynx India Pvt. Ltd,Hyderabad,3-5 Yrs,"big data analytics
Machine learning
linear regression
Data structures
Natural language processing
Predictive modeling
Pattern recognition
Data mining"
Full Stack Data Scientist,Markit India Services Private Limited,Noida,3-8 Yrs,"Automation
MySQL
Javascript
OLAP
Oracle
MS Office
Data mining
Analytics"
Data Scientist (Internship),BugendaiTech,Indore,0-1 Yrs,Internship
data scientist (internship),BugendaiTech,Pune,0-1 Yrs,Internship
Data Scientist,Reserve Bank Information Technology Pvt. Ltd.,Mumbai,2-4 Yrs,"C++
Change management
Automation
Analytical
Social media
Data mining
Business intelligence
Analytics"
Lead Data Scientist - Machine Learning/ Algorithm,Meru Mobility Tech Pvt Ltd,Mumbai,5-10 Yrs,"Data Science
R
Hive
NLP
Data Scientist
Tableau
Regression Modeling
Machine Learning"
Data Scientist,Diverse Lynx India Pvt. Ltd,Hyderabad,3-5 Yrs,"big data analytics
Machine learning
linear regression
Data structures
Natural language processing
Predictive modeling
Pattern recognition
Data mining"
Full Stack Data Scientist,Markit India Services Private Limited,Noida,3-8 Yrs,"Automation
MySQL
Javascript
OLAP
Oracle
MS Office
Data mining
Analytics"
Data Scientist/ML Engineer (Work from Home),COA NETWORK INDIA PRIVATE LIMITED,Hyderabad(Somajiguda),2-7 Yrs,"IT Skills
Python
Data Science
work from home
Dimensionality Reduction
Artificial Intelligence
Data cleaning
Data Transforms"
data scientist (internship),BugendaiTech,Lucknow,0-1 Yrs,Internship
Data Scientist,TensorGo Technologies Private Limited,Hyderabad,2-6 Yrs,"Computer vision
Logistic regression
Statistical analysis
data science
MySQL
Machine learning
SCALA
Programming"
Data Scientist - Big Data,Evolutum,United Kingdom (U.K),3-7 Yrs,"Azure
Artificial Intelligence
Hadoop
Big Data
Tableau
SSIS
Machine Learning
SQL"
Data Scientist,ICAV Tech Pvt. Ltd.,India,3-8 Yrs,"GIS
Software QA
C++
Life Cycle
MS SQL
C
Neural Networks
Computer Vision"
Data Scientist,Smart Monitor,Pune(Senapati Bapat Road),2-5 Yrs,"Spotfire
CSS
Oracle SQL
Power Bi
Html5
Artificial Intelligence
Alteryx
Neural Networks"
Data Scientist,GLOBAL QUEST TECHNOLOGIES,Bengaluru,0-1 Yrs,"Artificial Intelligence
Big Data
Data Mining
Data Warehousing
Machine Learning"
Jr.Data Scientist,Sapalogy Pvt. Ltd.,maharashtra,1-4 Yrs,"Computer science
C++
Operations research
Analytical
Machine learning
SCALA
Business intelligence
Data mining"
Data Scientist,VALIANCE ANALYTICS PRIVATE LIMITED,"Delhi NCR, Gurgaon",3-5 Yrs,"R
Xgboost
Neural Networks
Statistical Modeling
Data Analysis
Hypothesis Testing
Machine Learning
Python"
Data Scientist,Happyhat Solution Pvt. Ltd,Chennai,3-8 Yrs,"Data Science
R
Artificial Intelligence
Natural Language Processing
Hadoop
Text Mining
Spark
Statistical Data Analysis"
Data Scientist - Machine Learning/artificial Intelligence,3D India Staffing Research Consulting Pvt Ltd,"Gurgaon, Gurugram",5-9 Yrs,"Data Science
Java
R
Artificial Intelligence
Data Scientist
SCALA
Data Mining
Data Visualization"
Data Scientist,NSE.IT Ltd,Mumbai,5-10 Yrs,"Text mining
deep learning
Automation
Neural networks
Machine learning
Housing finance
Deployment
data visualization"
Data Scientist,Aureus Analytics,Mumbai,5-10 Yrs,"Logistic regression
data science
Neural networks
Machine learning
Actuarial
Mathematics
Customer experience
Forecasting"
AGM Data Scientist - Top Durable Brand - Mumbai,Smart Source,Mumbai,10-18 Yrs,"data science
team role
machine learning
market analysis
predictive analysis"
Data Scientist,KRINTEK GLOBAL PRIVATE LIMITED,"Pune, Navi Mumbai, Mumbai",6-11 Yrs,"R
SAS
Power Bi
Data Scientist
Hadoop
Tableau
Spark
Qlik View"
Data Scientist (Internship),BugendaiTech,Indore,0-1 Yrs,Internship
Data Scientist,Smart Monitor,Pune(Senapati Bapat Road),2-5 Yrs,"Spotfire
Power Bi
Alteryx
Initio
Tableau
Informatica
Microstrategy
R"
data scientist (internship),BugendaiTech,Pune,0-1 Yrs,Internship
CSII - Item and inventory - Senior Data Scientist,Walmart Labs,Chennai,3-7 Yrs,"Order management
Supply chain
Computer science
SAN
Supply chain management
SAS
Machine learning
Troubleshooting"
Data Scientist / Senior Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Bengaluru,3-8 Yrs,"Computer science
Coding
Machine learning
HTML
Data mining
Analytics
SQL
Android"
BI Developer / Data Scientist,The Hiring Xpert,Vadodara,1-2 Yrs,"M-query
Business Intelligence
ZAP BI
Power Bi
SSRS
OLAP
dax
ETL"
Data Scientist,"vLogix Technologies Pvt. Ltd.,",Chennai(Okkiyam Thuraipakkam),2-5 Yrs,"algorithms
python
data analysis
data science
RDBMS
data mining
numpy
statistical analysis"
Data Scientist,XZED SKILLS PRIVATE LIMITED,"Bengaluru, Kochi",3-6 Yrs,"hive
Data Science
python
R
data modeling
SAS
spark
hdfs"
Data Scientist,Sybrant Data,Chennai,2-4 Yrs,"Computer science
R Programming
Machine learning
Hadoop
Perl
Data mining
Statistics
Python"
Data Scientist,"ANMUTSOLUTIONS Pvt,Ltd.","Bengaluru, Hyderabad",3-8 Yrs,"ERP
Data analysis
SAS
Simulation
Analytical
Machine learning
Healthcare
Data mining"
Data Scientist - Big Data,Evolutum,United Kingdom (U.K),3-7 Yrs,"Azure
Artificial Intelligence
Hadoop
Big Data
Tableau
SSIS
Machine Learning
SQL"
Data Scientist,NICE Ltd,Pune,3-6 Yrs,"Computer science
Automation
SAS
SPSS
Data mining
Risk management
Business intelligence
Macros"
Data Science/ Scientist - Python/ Deep Learning,New Era India,Bengaluru,7-12 Yrs,"Data Science
Java
C++
Data Scientist
Artificial Intelligence
Data Management
Machine Learning
Algorithm"
SENIOR DATA SCIENTIST AND MACHINE LEARNING ENGINEER,McAfee Software (India) Pvt. Ltd,Bengaluru,5-9 Yrs,"C++
Data analysis
Analytical
Machine learning
Perl
Data mining
MATLAB
Analytics"
Looking For Data Scientist in Hyderabad only PHD,Anlage Infotech (I) Pvt. Ltd.,Hyderabad,5-9 Yrs,"trading
analytics
Finance Domain
capital
Data Scientist
Senior Data Scientist
investment
Mathematics"
Job Opening For Senior Data Scientist With 5yrs To 12yrs of Experience,Black and White Business Solutions Pvt Ltd,Bengaluru,5-10 Yrs,"Knowledge Sharing
Scala
Big Data
Clarity
Analytics
Deep Learning
Data Science
Agile Project Management"
Data Scientist,MM JAIN AGENCIES,"Mumbai Suburbs, Mumbai, Indore",5-10 Yrs,"nlp
Data Scientist"
Data Scientist / Senior Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Bengaluru,1-6 Yrs,"Computer science
Automation
Data analysis
Analytical
Machine learning
HTML
Data quality
Analytics"
Data Scientist,New Era India,Bengaluru,17-23 Yrs,"Java
Data Scientist
OOPS
Data Management
Big Data
Data Mining
PhD
Algorithm"
Artificial Intelligence Expert - Data Scientist/ Machine Learning,New Era India,United States,11-15 Yrs,"Speech Recognition
NLP
Artificial Intelligence
Image Processing
Data Scientist
Computer Vision
Machine Learning
PhD"
Data Scientist,Clinton Health Access Initiative,Delhi,3-8 Yrs,"Product management
Supply chain management
Data management
Data structures
HTTP
Stored procedures
Open source
Analytics"
"Data Scientist, NLP",Fractal Analytics Ltd,Bengaluru,3-7 Yrs,"deep learning
customer analytics
Statistical analysis
Executive
Diagnostics
Artificial Intelligence
Machine learning
Data analytics"
Principal - Data Scientist,Tvs Motor Company,Hosur,6-11 Yrs,"Development management
TQM
Project management
Machine learning
Middle level management
Data analytics
Manager Quality Control
Scientist 1"
CSII - Item and inventory - Senior Data Scientist,Walmart Labs,Chennai,3-7 Yrs,"Order management
Supply chain
Computer science
SAN
Supply chain management
SAS
Machine learning
Troubleshooting"
Associate Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Bengaluru,1-3 Yrs,"Computer science
C++
Data analysis
Analytical
Machine learning
HTML
Data mining
Analytics"
Immediate Requirement For Data Scientist,Globussoft,Bengaluru(Koramangala),0-1 Yrs,"Predictive Modeling
NLP
Algorithms
NoSQL
Data Mining
Data Scraping
Machine Learning
Deep Learning"
Lead AI/ ML Data Scientist - Social Networks - Work From Home,Sutra Tech Labs Private Limited,"Delhi NCR, Bengaluru, Hyderabad",2-6 Yrs,"Artificial Intelligence
Scala
neural networks
DataFactory
Tableau
Machine Learning
Apache Spark
SageMaker"
Data Scientist - SaaS,OnceHub Technologies,"Gurgaon, Gurgaon",1-6 Yrs,"IT Skills
Python
Testing
work from home
R
PowerBI
Data Scientist
Hypothesis Testing"
BI Developer / Data Scientist,The Hiring Xpert,Vadodara,1-2 Yrs,"M-query
Business Intelligence
ZAP BI
Power Bi
SSRS
OLAP
dax
ETL"
Trainee-freshers-machine Learning-ai-data Scientist,Aficionado Technologies Pvt Ltd,Bengaluru(BTM Layout),0-0 Yrs,"Tensorflow
NLP
Keras
Knn
Machine Learning
Deep Learning
Numpy
Python"
Hiring For Data Scientist,Flywings enterprises,Pune,2-7 Yrs,"Algorithm Development
Pattern Recognition
Natural Language Processing
Machine Learning
Leadership Skills
Python"
Data Scientist,NICE Ltd,Pune,3-6 Yrs,"Computer science
Automation
SAS
SPSS
Data mining
Risk management
Business intelligence
Macros"
Sr. Data Scientist / Team Manager,AVE-Promagne,"Chennai, Bengaluru, Remote",7-9 Yrs,"NLP
data science
neural networks
AI
machine learning
ML"
Lead Data Scientist / Machine Learning Expert,Bidgely Technologies Private Limited,Bengaluru,6-9 Yrs,"Product management
Computer science
Data analysis
Interpersonal skills
Machine learning
Intellectual property
Data mining
MATLAB"
Tech Lead Data Scientist - Dl/ml - Hyderabad,Resource Weaver,Hyderabad,11-15 Yrs,"Pyspark
Azure
EDA
PySpark
CSV
SQL Queries
Data bricks
JSON"
Lead Data Scientist - Machine /deep Learning,Confidential,Hyderabad,5-8 Yrs,"Data Science
R
Data Scientist
Artificial Intelligence
PySpark
Data Management
Statistical Analyst
Machine Learning"
Data Scientist,ArrisTechnologies,"Mysore, Bengaluru",12-15 Yrs,"data science
Artificial Intelligence
Machine Language
DataScience
Analytics"
Data Scientist,MM JAIN AGENCIES,"Mumbai Suburbs, Mumbai, Indore",5-10 Yrs,"nlp
Data Scientist"
Data Scientist,Walmart Labs,Chennai,2-6 Yrs,"Order management
Supply chain
Computer science
SAN
Supply chain management
SAS
Machine learning
Troubleshooting"
Sr. Data Scientist / Machine learning Expert,Bidgely Technologies Private Limited,Bengaluru,4-6 Yrs,"Product management
Computer science
Data analysis
Statistical analysis
Analytical
Machine learning
Intellectual property
Data mining"
Data Scientist,Clinton Health Access Initiative,Delhi,3-8 Yrs,"Product management
Supply chain management
Data management
Data structures
HTTP
Stored procedures
Open source
Analytics"
"Data Scientist, NLP",Fractal Analytics Ltd,Bengaluru,3-7 Yrs,"deep learning
customer analytics
Statistical analysis
Executive
Diagnostics
Artificial Intelligence
Machine learning
Data analytics"
Principal - Data Scientist,Tvs Motor Company,Hosur,6-11 Yrs,"Development management
TQM
Project management
Machine learning
Middle level management
Data analytics
Manager Quality Control
Scientist 1"
Data Scientist,Paktolus solutions,Bengaluru,3-5 Yrs,"hive
python
data analysis
data mining
cloud platforms
random forest
machine learning
classification"
Lead Data Scientist,DataTrained,"Bengaluru, Noida",2-4 Yrs,"Computer science
SAN
French
Data modeling
Analytical
Machine learning
Predictive modeling
Analytics"
Data Scientist,Foghorn Systems Pvt Ltd,Pune,2-4 Yrs,"Tensorflow
Data Science
Cnn
Scipy
Lstm
Xgboost
Neural Networks
Keras"
Data Scientist,Sybrant Data,Chennai,2-4 Yrs,"Computer science
R Programming
Machine learning
Hadoop
Perl
Data mining
Statistics
Python"
Opportunity For Data Scientist Internship - Bengaluru,Corner Stone Solutions,Bengaluru,0-1 Yrs,"Data Science
R
tensorflow
NLP
Algorithms
Opencv
Artificial Intelligence
MATLAB"
Data Scientist,Marktine,Jaipur,1-3 Yrs,"Computer languages
PDF
Neural networks
Machine learning
Predictive modeling
Business solutions
Revenue generation
Monitoring"
Data Scientist,"ANMUTSOLUTIONS Pvt,Ltd.","Bengaluru, Hyderabad",3-8 Yrs,"ERP
Data analysis
SAS
Simulation
Analytical
Machine learning
Healthcare
Data mining"
Hiring For Data Scientist,Flywings enterprises,Pune,2-7 Yrs,"Algorithm Development
Pattern Recognition
Natural Language Processing
Machine Learning
Leadership Skills
Python"
"Data Scientist - Python/r, Ai/ml, NLP",Axim Technologies,Bengaluru,4-8 Yrs,"ML / AI
NLP
Data Scientist
Python / R"
Senior Data Scientist - Product Development Firm,Huquo Consulting Pvt. Ltd,"Delhi NCR, Gurgaon",5-10 Yrs,"Data Science
NLP
Data Scientist
Data Management
Data Modeling
Data Analytics
Machine Learning
Analytics"
Senior Data Scientist / Machine Learning Engineer,Winning Edge India,Bengaluru,8-12 Yrs,"Data Science
Malware
Security
Machine Learning"
Principal Data Scientist - Big Data/ Machine Learning,HyrEzy Talent Solutions,Delhi,6-11 Yrs,"Data Science
R
Data Pipeline
Data Scientist
Scala
Hadoop
Big Data
Spark"
AVP - Data Scientist - Top General Insurance Company.,Right Match HR Services Pvt Ltd,Mumbai,8-12 Yrs,"r
python
sas
data science
Data Scientist
decision trees
statistical modeling
clustering"
"Senior Data Scientist - Ai/ml, SVM",Axim Technologies,Bengaluru,9-14 Yrs,"Decision Tree
NLP
API development
Data Scientist
data mining
AI / Ml
SVM
quantitative analysis"
Manager - Data Scientist/python,Huquo Consulting Pvt. Ltd,Gurgaon,5-8 Yrs,"Data Science
NLP
Retail Analytics
Data Scientist
Data Management
Statistics
Python"
Senior Manager - Data Scientist - Iit/nit/bits,Huquo Consulting Pvt. Ltd,"Delhi NCR, Gurgaon",8-12 Yrs,"Data Science
Data Scientist
Data Management
Data Mining
Tableau
Data Analytics
Machine Learning
Statistics"
Lead Data Scientist - BFSI,Huquo Consulting Pvt. Ltd,Bengaluru,5-8 Yrs,"Data Science
NLP
Data Scientist
Artificial Intelligence
Big Data
Statistical Modeling
Data Analytics
Machine Learning"
Senior Data Scientist - Product Development Firm - IIT/ NIT/ BITS,Huquo Consulting Pvt. Ltd,"Delhi NCR, Gurgaon",5-10 Yrs,"Data Science
NLP
Data Scientist
Data Management
Data Modeling
Data Analytics
Machine Learning
Analytics"
Lead Data Scientist,Huquo Consulting Pvt. Ltd,Bengaluru,5-8 Yrs,"Data Science
NLP
Data Scientist
Artificial Intelligence
Big Data
Statistical Modeling
Data Analytics
Machine Learning"
Senior Manager - Data Scientist - Banking Domain - Iit/nit/bits,Huquo Consulting Pvt. Ltd,"Delhi NCR, Gurgaon",8-12 Yrs,"Data Science
Data Scientist
Data Management
Data Mining
Tableau
Data Analytics
Machine Learning
Statistics"
Data Scientist,Paktolus solutions,Bengaluru,3-5 Yrs,"hive
python
data analysis
data mining
cloud platforms
random forest
machine learning
classification"
Opportunity For Data Scientist Internship - Bengaluru,Corner Stone Solutions,Bengaluru,0-1 Yrs,"Data Science
R
tensorflow
NLP
Algorithms
Opencv
Artificial Intelligence
MATLAB"
Principal Data Scientist,Axim Technologies,"Bengaluru, Karnataka",5-8 Yrs,"Unix
Java
Container
Algorithms
Multithreading
Linux
Docker
Data Scientist"
Data Scientist - Image Recognition/machine Learning,CarbyneTech India,Hyderabad,5-10 Yrs,"NLP
Data Scientist
Time Series Analysis
Artificial Intelligence
Data Management
Image Recognition
Distributed Computing
Machine Learning"
Associate Vice President - Data Scientist,Huquo Consulting Pvt. Ltd,Gurgaon,8-12 Yrs,"Data Science
NLP
Data Scientist
Big Data
Machine Learning
Analytics
Python"
SENIOR DATA SCIENTIST AND MACHINE LEARNING ENGINEER,McAfee Software (India) Pvt. Ltd,Bengaluru,5-9 Yrs,"C++
Data analysis
Analytical
Machine learning
Perl
Data mining
MATLAB
Analytics"
"Data Scientist, Pratham Digital",PRATHAM Education,"Mumbai, henry,uttar pradesh,rajasthan",5-8 Yrs,"Computer science
C++
NoSQL
Machine learning
Javascript
Data collection
Data mining
MATLAB"
Data Scientist,Linedata,Mumbai(Vikhroli),4-9 Yrs,"python
nlp
natural language processing
sentiment analysis
data mining
statistical modeling
machine learning
pattern recognition"
Data Analyst / Data Scientist - C++/c#/java,Confidential,Hyderabad,5-7 Yrs,"C#
Java
architecting
C++
software development
Data Scientist
Hadoop
Data Analysis"
Data Scientist,Okda Solutions,Hyderabad,4-8 Yrs,"and CouchDB
Artificial Intelligence
No SQL
Machine Learning
NumPy
HBase
R
NLP"
Principal Data Scientist - Big Data/ Machine Learning,HyrEzy Talent Solutions,Delhi,6-11 Yrs,"Data Science
R
Data Pipeline
Data Scientist
Scala
Hadoop
Big Data
Spark"
SENIOR DATA SCIENTIST AND MACHINE LEARNING ENGINEER,McAfee Software (India) Pvt. Ltd,Bengaluru,5-9 Yrs,"Computer science
C++
Data analysis
Machine learning
Perl
Data mining
MATLAB
Analytics"
Data Scientist - Hadoop/mapreduce,Confidential,India,5-8 Yrs,"analytics
Java
predictive modeling
Hadoop
Data Management
Big Data
statistical modeling
PhD"
Data Scientist - Artificial Intelligence/ Machine Learning,Okda Solutions,Hyderabad,4-8 Yrs,"Data Science
R
NLP
NoSQL
RDBMS
Artificial Intelligence
Data Scientist
Statistical Modeling"
Lead Data Scientist - BFSI,Huquo Consulting Pvt. Ltd,Bengaluru,5-8 Yrs,"Data Science
NLP
Data Scientist
Artificial Intelligence
Big Data
Statistical Modeling
Data Analytics
Machine Learning"
Senior Data Scientist - Product Development Firm,Huquo Consulting Pvt. Ltd,"Delhi NCR, Gurgaon",5-10 Yrs,"Data Science
NLP
Data Scientist
Data Management
Data Modeling
Data Analytics
Machine Learning
Analytics"
Manager - Data Scientist/python,Huquo Consulting Pvt. Ltd,Gurgaon,5-8 Yrs,"Data Science
NLP
Retail Analytics
Data Scientist
Data Management
Statistics
Python"
Senior Data Scientist - Product Development Firm - IIT/ NIT/ BITS,Huquo Consulting Pvt. Ltd,"Delhi NCR, Gurgaon",5-10 Yrs,"Data Science
NLP
Data Scientist
Data Management
Data Modeling
Data Analytics
Machine Learning
Analytics"
Lead Data Scientist,Huquo Consulting Pvt. Ltd,Bengaluru,5-8 Yrs,"Data Science
NLP
Data Scientist
Artificial Intelligence
Big Data
Statistical Modeling
Data Analytics
Machine Learning"
Senior Manager - Data Scientist - Banking Domain - Iit/nit/bits,Huquo Consulting Pvt. Ltd,"Delhi NCR, Gurgaon",8-12 Yrs,"Data Science
Data Scientist
Data Management
Data Mining
Tableau
Data Analytics
Machine Learning
Statistics"
Data Scientist / Senior Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Bengaluru,3-8 Yrs,"Computer science
Coding
Machine learning
HTML
Data mining
Analytics
SQL
Android"
Hiring For Data Scientist - Freelancer,"Kumaran Systems Pvt. Ltd.,",Chennai(Navalur),3-8 Yrs,"Data Science
C++
Machine Learning
Python
Predictive Analytics"
Data Scientist,XZED SKILLS PRIVATE LIMITED,"Bengaluru, Kochi",3-6 Yrs,"hive
Data Science
python
R
data modeling
SAS
spark
hdfs"
Senior Deep Learning Data Scientist,Number Theory Software,Gurgaon,2-6 Yrs,"Computer vision
deep learning
software architecture
Image processing
Data modeling
Coding
Neural networks
Data structures"
Principal Data Scientist-Digital (OOG),TVS MOTOR COMPANY LTD,Bengaluru,8-12 Yrs,DATA SCIENTIST
Data Scientist,New Era India,Bengaluru,17-23 Yrs,"Java
Data Scientist
OOPS
Data Management
Big Data
Data Mining
PhD
Algorithm"
SENIOR DATA SCIENTIST AND MACHINE LEARNING ENGINEER,McAfee Software (India) Pvt. Ltd,Bengaluru,5-9 Yrs,"C++
Data analysis
Analytical
Machine learning
Perl
Data mining
MATLAB
Analytics"
"Senior Data Scientist [ML Model,azure ML Pipeline,python,r ]",eInfochips Limited,Bengaluru(6th block Koramangala),8-12 Yrs,"Data Science
R
tensorflow
Pickle
Artificial Intelligence
PMML
ML Models
Python"
Data Scientist,Xoriant Solutions Pvt Ltd,Pune,7-10 Yrs,"Tensorflow
Java
R
Algorithms
Artificial Intelligence
Data Structures
Natural Language Processing
Keras"
"Data Scientist, Pratham Digital",PRATHAM Education,"Mumbai, henry,uttar pradesh,rajasthan",5-8 Yrs,"Computer science
C++
NoSQL
Machine learning
Javascript
Data collection
Data mining
MATLAB"
Lead Data Scientist,Bit Brothers Tech Pvt Ltd,Mumbai,4-6 Yrs,"Computer science
Statistical analysis
Data management
data science
Machine learning
Data quality
Data mining
MATLAB"
Data Scientist & Software Engineer,Antrors HR Solutions,Gurgaon,5-8 Yrs,"C#
R
Data Scientist
Javascript
NodeJS
Python"
Senior Data Scientist - Machine Learning & Regression Algorithms,Confidential,Bengaluru,6-10 Yrs,"Data Science
Predictive Modeling
Regression Algorithms
R
Power BI
Data Scientist
Statistical Modeling
Data Visualization"
Principal Data Scientist - IIT/ NIT / BITS,3D India Staffing Research & Consulting Co India,Bengaluru,8-13 Yrs,"Team Handling
Segmentation
Operations Research
Data Mining
Machine Learning
Statistics
Analytics
Clementine"
Data Scientist / Senior Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Bengaluru,1-6 Yrs,"Computer science
Automation
Data analysis
Analytical
Machine learning
HTML
Data quality
Analytics"
Artificial Intelligence Expert - Data Scientist/ Machine Learning,New Era India,United States,11-15 Yrs,"Speech Recognition
NLP
Artificial Intelligence
Image Processing
Data Scientist
Computer Vision
Machine Learning
PhD"
SENIOR DATA SCIENTIST AND MACHINE LEARNING ENGINEER,McAfee Software (India) Pvt. Ltd,Bengaluru,5-9 Yrs,"Computer science
C++
Data analysis
Machine learning
Perl
Data mining
MATLAB
Analytics"
SENIOR DATA SCIENTIST AND MACHINE LEARNING ENGINEER,McAfee Software (India) Pvt. Ltd,Bengaluru,5-9 Yrs,"C++
Data analysis
Analytical
Machine learning
Perl
Data mining
MATLAB
Analytics"
SENIOR DATA SCIENTIST AND MACHINE LEARNING ENGINEER,McAfee Software (India) Pvt. Ltd,Bengaluru,5-9 Yrs,"Computer science
C++
Data analysis
Machine learning
Perl
Data mining
MATLAB
Analytics"
Data Scientist,Spectrum Talent Management,Bengaluru,3-7 Yrs,"IT services
Business objects
MS SQL
RDBMS
MySQL
SSRS
Data structures
Oracle"
Data Scientist,Paktolus solutions,Bengaluru,3-5 Yrs,"hive
python
data analysis
data mining
cloud platforms
random forest
machine learning
classification"
Hiring For Data Scientist,Flywings enterprises,Pune,2-7 Yrs,"Algorithm Development
Pattern Recognition
Natural Language Processing
Machine Learning
Leadership Skills
Python"
Principal Data Scientist - Machine/Deep Learning - NLP/Tensorflow,Fidius advisory,Bengaluru,8-13 Yrs,"Tensorflow
NLP
PyTorch
data science
product management
design
Deep Learning"
"Senior Data Scientist [ML Model,azure ML Pipeline,python,r ]",eInfochips Limited,Bengaluru(6th block Koramangala),8-12 Yrs,"Data Science
R
tensorflow
Pickle
Artificial Intelligence
PMML
ML Models
Python"
Senior Data Scientist - Marketing Analytics,TVS Credit Services Limited,Chennai(Nungambakkam),4-9 Yrs,"customer analytics
marketing analytics
attribution modelling
market mix modelling
campaign analytics
Machine Learning"
Sr. Data Scientist / Analyst,Speridian Technologies Pvt Ltd,"Mumbai, Bengaluru",10-15 Yrs,"Analyst
Artificial Intelligence
Social media
Manager Technology
Customer service
Data mining
big data
Operations"
Senior Data Scientist - Product Development Firm - IIT/ NIT/ BITS,Huquo Consulting Pvt. Ltd,"Delhi NCR, Gurgaon",5-10 Yrs,"Data Science
NLP
Data Scientist
Data Management
Data Modeling
Data Analytics
Machine Learning
Analytics"
Data Scientist - Artificial Intelligence/ Machine Learning,Okda Solutions,Hyderabad,4-8 Yrs,"Data Science
R
NLP
NoSQL
RDBMS
Artificial Intelligence
Data Scientist
Statistical Modeling"
Data Analyst / Data Scientist - C++/c#/java,Confidential,Hyderabad,5-7 Yrs,"C#
Java
architecting
C++
software development
Data Scientist
Hadoop
Data Analysis"
Data Scientist,TrueView HR Consulting Pvt. Ltd,Pune,5-10 Yrs,"R
Statistical Software
SAS
Factor Analysis
Web Technologies
PySpark
Time Series
Data Visualization"
Senior Data Scientist / Machine Learning / AI Engineer,Bion,Bengaluru,8-10 Yrs,"Java
Rest
Software Development
Artificial Intelligence
Weblogic
Javascript
Programming
J2Ee"
Data Scientist - Telecom - IIM/ IIT/ Bits/ NIT/ FMS/ MDI,Change Leaders,Bengaluru,4-8 Yrs,"Data Science
Business Intelligence
SAS
Data Scientist
Data Management
Tableau
Data Analytics
Statistics"
AVP - Data Scientist - Top General Insurance Company.,Right Match HR Services Pvt Ltd,Mumbai,8-12 Yrs,"r
python
sas
data science
Data Scientist
decision trees
statistical modeling
clustering"
Data Scientist,MM JAIN AGENCIES,Mumbai,8-13 Yrs,"data mining
data scientist
algorithm"
Lead Data Scientist,Huquo Consulting Pvt. Ltd,Bengaluru,5-8 Yrs,"Data Science
NLP
Data Scientist
Artificial Intelligence
Big Data
Statistical Modeling
Data Analytics
Machine Learning"
Data Scientist - Hadoop/mapreduce,Confidential,India,5-8 Yrs,"analytics
Java
predictive modeling
Hadoop
Data Management
Big Data
statistical modeling
PhD"
Senior Manager - Data Scientist - Banking Domain - Iit/nit/bits,Huquo Consulting Pvt. Ltd,"Delhi NCR, Gurgaon",8-12 Yrs,"Data Science
Data Scientist
Data Management
Data Mining
Tableau
Data Analytics
Machine Learning
Statistics"
Senior Data Scientist - Product Development Firm,Huquo Consulting Pvt. Ltd,"Delhi NCR, Gurgaon",5-10 Yrs,"Data Science
NLP
Data Scientist
Data Management
Data Modeling
Data Analytics
Machine Learning
Analytics"
Lead Data Scientist - BFSI,Huquo Consulting Pvt. Ltd,Bengaluru,5-8 Yrs,"Data Science
NLP
Data Scientist
Artificial Intelligence
Big Data
Statistical Modeling
Data Analytics
Machine Learning"
Opportunity For Data Scientist,8K Miles Software Services Limited,Chennai,3-6 Yrs,"R
Machine Learning
Python
Tensorflow
Data Science
NLP
Classification
Keras"
Data Scientist,ZunRoof Tech Pvt Ltd,Delhi NCR(Sector-63 Gurgaon),1-6 Yrs,"Data Analysis
Java
R
Logistic Regression
Time Series Analysis
Redis
Machine Learning
Python"
Hiring Data Scientist,Priya Softweb Solutions Private Limited,Ahmedabad,2-6 Yrs,"Machine Learning
Deep Learning
Python
Tensorflow
Object Detection
Cnn
Lstm
Neural Networks"
Data Scientist,CREDITMANTRI FINSERVE PRIVATE LIMITED,Chennai,2-3 Yrs,"Data Science
Predictive Modeling
Machine Learning
R
Logistic Regression
Segmentation
Chaid
Time Series"
Instacar - Data Scientist,Instacar Technologies Pvt Ltd,Bengaluru,3-8 Yrs,"data science
Data Scientist
DBMS
Solution Design
Deep Learning"
"Data Scientist - Remote ( Part Time, Full Time ) - WFH",Agile Tech,Hyderabad,2-4 Yrs,"IT Skills
Python
Cloud
AWS
work from home
python
f
part time"
SENIOR DATA SCIENTIST,McAfee Software (India) Pvt. Ltd,Bengaluru,5-9 Yrs,"Data analysis
Machine learning
SCALA
Customer service
Business intelligence
Troubleshooting
Forecasting
Product marketing"
Principal Data Scientist - NLP/Voice AI,TVS MOTOR COMPANY LTD,Bengaluru,4-8 Yrs,"Data Science
Recommender Systems
Cnn
Rnn
NLP
C
Artificial Intelligence
Classification"
Opportunity For Data Scientist For Global Investment firm,Anlage Infotech (I) Pvt. Ltd.,"Chennai, Pune",10-15 Yrs,"ai/ml
Data Science
Python
Data scientist
Predictive Modeling
Logistic Regression
Artificial Intelligence
Natural Language Processing"
